Project1_Results

bubbleSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
64,69.9,64,73.5,64,67.2,64,198.8,64,796.1,
128,77.0,128,79.4,128,72.5,128,159.7,128,1211.4,
256,86.9,256,95.2,256,84.5,256,313.5,256,1233.9,
512,126.5,512,148.2,512,126.6,512,446.8,512,1245.3,
1024,192.0,1024,159.9,1024,195.9,1024,448.3,1024,11412.6,
2048,308.8,2048,170.1,2048,314.0,2048,474.4,2048,1371.1,
4096,551.7,4096,195.4,4096,563.9,4096,806.8,4096,1599.3,
8192,1055.5,8192,259.2,8192,1025.9,8192,1540.4,8192,2091.5,
16384,2126.9,16384,411.3,16384,2159.7,16384,2742.5,16384,2833.6,
32768,625.0,32768,638.6,32768,4329.2,32768,4857.3,32768,3001.2,

radixSort
random_Data,,ordered_Data,,reverseOrdered_Data,,fiftyPercentOrdered_Data,,seventyFivePercentOrdered_Data,,
size,microseconds,size,microseconds,size,microseconds,size,microseconds,size,microseconds,
4,17.5,4,19.2,4,15.0,4,4448.7,4,113.4,
8,7.7,8,4.8,8,5.5,8,52.8,8,7.5,
16,6.0,16,6.6,16,6.7,16,69.1,16,10.4,
32,11.5,32,11.8,32,14.7,32,102.3,32,15.6,
64,24.5,64,21.5,64,22.0,64,205.6,64,33.5,
128,57.8,128,87.2,128,52.9,128,785.3,128,71.4,
256,134.3,256,118.5,256,127.0,256,531.1,256,173.9,
512,322.5,512,250.9,512,543.4,512,1642.4,512,399.0,
1024,701.7,1024,1009.8,1024,800.0,1024,2961.6,1024,775.0,
2048,1278.2,2048,1716.4,2048,1891.0,2048,4882.2,2048,1327.3,
4096,1857.1,4096,1356.2,4096,1864.2,4096,6380.1,4096,2221.3,
8192,3942.4,8192,2539.8,8192,3253.9,8192,5295.0,8192,3980.7,
